0, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
0.292968, 1, 0.79296, 0.593879, 0.443772, 0.331911, 0.248339, 0.185841, 0.139103, 0.104159, 0.0780477, 0.0585543, 0.0440271, 0.0332355, 0.0252678, 0.0194559, 0.0153225, 0.0125461, 0.010937, 0.0104079, 0.010937
0.585936, 1, 0.341123, 0.44828, 0.221565, 0.213316, 0.127434, 0.106188, 0.0698262, 0.054254, 0.0374811, 0.0281774, 0.0200211, 0.0148948, 0.0108566, 0.00820222, 0.00628359, 0.00508989, 0.00439571, 0.0041845, 0.00439571
0.878904, 1, 0.909001, 0.756602, 0.600866, 0.463883, 0.351736, 0.263569, 0.195963, 0.144963, 0.106916, 0.078766, 0.0580792, 0.0429836, 0.0320703, 0.0243, 0.0189234, 0.0154179, 0.0134423, 0.0128043, 0.0134423
1.17187, 1, 0.919842, 0.777974, 0.626908, 0.489507, 0.37394, 0.281153, 0.208899, 0.153831, 0.112524, 0.0819232, 0.0594896, 0.0432058, 0.0315188, 0.0232649, 0.0175966, 0.013922, 0.0118572, 0.0111911, 0.0118572
1.46484, 1, 0.925968, 0.790096, 0.641397, 0.503131, 0.384792, 0.288538, 0.212936, 0.155068, 0.111658, 0.0796271, 0.0563255, 0.0395957, 0.0277458, 0.0194917, 0.0138899, 0.0102818, 0.00825237, 0.00759455, 0.00825237
1.75781, 1, 0.000430695, 0.000366994, 0.000297851, 0.000233967, 0.000179541, 0.000135394, 0.000100747, 7.41933e-05, 5.42036e-05, 3.93664e-05, 2.84815e-05, 2.05796e-05, 1.49055e-05, 1.08887e-05, 8.11312e-06, 6.29262e-06, 5.25325e-06, 4.91362e-06, 5.25325e-06
2.05078, 1, 0.855436, 0.980536, 0.887658, 0.936237, 0.932486, 0.887149, 0.968018, 0.85461, 0.97959, 0.853208, 0.963141, 0.881407, 0.925368, 0.923029, 0.882004, 0.95793, 0.852968, 0.971316, 0.852968
2.34375, 1, 0.937081, 0.81662, 0.679713, 0.547737, 0.430739, 0.332238, 0.252206, 0.188876, 0.139793, 0.102401, 0.0743399, 0.0535736, 0.038428, 0.0275768, 0.020011, 0.0150117, 0.0121361, 0.0111907, 0.0121361
2.63671, 1, 0.264594, 0.266215, 0.265613, 0.262934, 0.262612, 0.265588, 0.266572, 0.263564, 0.262, 0.26485, 0.267057, 0.265162, 0.263079, 0.264397, 0.266567, 0.266485, 0.265008, 0.264262, 0.265008
2.92968, 1, 0.935816, 0.813488, 0.675146, 0.542406, 0.425251, 0.327034, 0.247558, 0.184913, 0.136546, 0.0998387, 0.072399, 0.052183, 0.037522, 0.0271038, 0.0199332, 0.0152896, 0.0126884, 0.0118514, 0.0126884
3.22265, 1, 0.0150804, 0.0155482, 0.0139078, 0.0122446, 0.014217, 0.0168511, 0.015891, 0.0116072, 0.0108031, 0.0157254, 0.0182213, 0.0150918, 0.00927184, 0.0114986, 0.0175036, 0.0184813, 0.0133762, 0.00819691, 0.0133762
3.51562, 1, 0.0127884, 0.0117769, 0.0132311, 0.0135098, 0.0121437, 0.0119096, 0.0137114, 0.0136671, 0.011711, 0.0131646, 0.0146713, 0.0124988, 0.0121336, 0.0141785, 0.0133184, 0.0116874, 0.0126737, 0.0136281, 0.0126737
3.80859, 1, 0.156718, 0.155385, 0.157264, 0.157185, 0.153722, 0.153437, 0.157183, 0.156747, 0.151064, 0.150092, 0.155909, 0.157102, 0.150122, 0.146941, 0.153604, 0.157564, 0.151239, 0.145651, 0.151239
4.10155, 1, 0.943382, 0.832192, 0.702934, 0.575642, 0.460444, 0.361489, 0.279489, 0.21333, 0.161055, 0.120448, 0.0893581, 0.0658542, 0.0482978, 0.0353558, 0.026001, 0.019527, 0.0155992, 0.0142534, 0.0155992
4.39452, 1, 0.93266, 0.801725, 0.651214, 0.505969, 0.378384, 0.273097, 0.190226, 0.127525, 0.0817453, 0.0494532, 0.0274698, 0.0130864, 0.00421069, 0.00210694, 0.00476525, 0.00628285, 0.00698159, 0.0071787, 0.00698159
4.68749, 1, 0.0307499, 0.0296787, 0.0301185, 0.0324095, 0.032606, 0.0303166, 0.0296328, 0.0307499, 0.0312714, 0.0307508, 0.0296637, 0.0301806, 0.0324793, 0.032545, 0.0302467, 0.0296482, 0.0307509, 0.0312698, 0.0307509
4.98046, 1, 0.931109, 0.79517, 0.637693, 0.485339, 0.351917, 0.242843, 0.158444, 0.0962707, 0.0526439, 0.0236333, 0.00586757, 0.00583902, 0.0109187, 0.0130465, 0.0134613, 0.0131335, 0.0127002, 0.0125177, 0.0127002
5.27343, 1, 0.000863709, 0.000892709, 0.001088, 0.00108708, 0.000924549, 0.00102354, 0.00121747, 0.00112702, 0.000892017, 0.000906403, 0.000970122, 0.000866484, 0.000880837, 0.00102853, 0.00098562, 0.000894403, 0.0010923, 0.00124754, 0.0010923
5.5664, 1, 0.000848812, 0.000851282, 0.000855114, 0.000858483, 0.000859735, 0.000858256, 0.000854776, 0.000851022, 0.000848878, 0.000849429, 0.000852395, 0.00085628, 0.000859142, 0.000859566, 0.000857343, 0.00085357, 0.000850126, 0.000848745, 0.000850126
5.85936, 1, 0.0206298, 0.0202798, 0.0218628, 0.0240283, 0.0215275, 0.0198932, 0.0196817, 0.0203193, 0.021727, 0.0208642, 0.0226143, 0.0231967, 0.0202519, 0.0194001, 0.0194942, 0.021701, 0.0225407, 0.0211011, 0.0225407
6.15233, 1, 0.0287912, 0.0269912, 0.0243228, 0.0211998, 0.0182098, 0.0161304, 0.0156831, 0.016935, 0.0191998, 0.0216532, 0.0237, 0.0249917, 0.0253806, 0.0248984, 0.0237543, 0.0223314, 0.0211417, 0.0206747, 0.0211417
6.4453, 1, 0.93348, 0.804185, 0.655208, 0.511033, 0.384, 0.278811, 0.195681, 0.132473, 0.0860376, 0.0530221, 0.0303048, 0.0152022, 0.00553218, 0.000410841, 0.00386839, 0.00576009, 0.0066723, 0.00694027, 0.0066723
6.73827, 1, 0.926335, 0.780393, 0.610833, 0.448039, 0.308694, 0.199014, 0.118402, 0.0628453, 0.0271062, 0.00625211, 0.00600926, 0.0105354, 0.0114582, 0.0104422, 0.00866414, 0.00686883, 0.00554125, 0.0050426, 0.00554125
7.03124, 1, 0.920662, 0.764117, 0.583494, 0.411899, 0.267299, 0.156571, 0.0799315, 0.0367117, 0.0285569, 0.0335717, 0.0346375, 0.0312936, 0.025598, 0.0193172, 0.0136305, 0.00922819, 0.00647026, 0.00553107, 0.00647026
7.3242, 1, 0.923289, 0.773734, 0.602157, 0.439054, 0.300474, 0.192338, 0.114347, 0.0634484, 0.0363496, 0.0279589, 0.026963, 0.0256819, 0.0228944, 0.019294, 0.0157091, 0.0127502, 0.0108133, 0.0101385, 0.0108133
7.61717, 1, 0.0888734, 0.0887541, 0.088945, 0.088857, 0.0887605, 0.088951, 0.0888442, 0.0887677, 0.0889562, 0.0888315, 0.0887761, 0.0889599, 0.0888191, 0.0887856, 0.0889621, 0.0888073, 0.088796, 0.0889629, 0.088796
7.91014, 1, 0.931719, 0.793003, 0.627823, 0.464829, 0.321071, 0.204379, 0.116113, 0.0539396, 0.0145796, 0.0136007, 0.0245679, 0.0282905, 0.0272706, 0.0238081, 0.019574, 0.0157125, 0.0130119, 0.0120327, 0.0130119
