0, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
0.292968, 0, 2.59556, -1.05451, 1.58882, -2.04947, 0.595449, -3.04298, -0.398469, 2.2456, -1.3943, 1.24762, -2.39609, 0.239135, 2.86706, -0.80035, 1.79641, -1.91666, 0.623316, -3.14159, -0.623316
0.585936, 0, 2.61376, -1.04915, 1.56432, -2.09945, 0.514814, 3.13331, -0.534844, 2.08297, -1.58456, 1.03286, -2.63408, -0.016614, 2.60055, -1.06416, 1.55519, -2.10659, 0.516733, -3.14159, -0.516733
0.878904, 0, 2.59449, -1.09123, 1.50972, -2.1691, 0.438418, 3.04877, -0.62159, 1.99339, -1.67295, 0.945549, -2.71758, -0.0958616, 2.52788, -1.12879, 1.50172, -2.14565, 0.49595, -3.14159, -0.49595
1.17187, 0, 2.62095, -1.04264, 1.57526, -2.09183, 0.522473, 3.13501, -0.537319, 2.07197, -1.60333, 1.00344, -2.67364, -0.0674023, 2.54036, -1.13116, 1.48814, -2.16346, 0.483315, -3.14159, -0.483315
1.46484, 0, 2.62146, -1.03922, 1.58468, -2.07306, 0.554033, -3.10031, -0.469644, 2.16291, -1.48583, 1.15045, -2.49494, 0.143596, 2.78108, -0.869528, 1.75057, -1.93759, 0.619149, -3.14159, -0.619149
1.75781, 0, 2.62752, -1.03094, 1.59016, -2.07594, 0.536953, -3.1376, -0.53324, 2.06694, -1.62001, 0.972719, -2.72036, -0.131228, 2.45992, -1.22477, 1.38987, -2.25046, 0.430226, 3.14159, -0.430226
2.05078, 0, 1.25233, 2.39775, -2.54651, -1.46737, -0.098573, 0.983259, 2.31754, -2.81725, -1.56628, -0.321856, 0.834016, 2.15804, -3.03116, -1.67728, -0.583133, 0.740585, 1.89553, 3.14159, -1.89553
2.34375, 0, 2.63252, -1.01769, 1.61591, -2.0329, 0.602328, -3.04471, -0.407597, 2.2305, -1.41363, 1.22621, -2.41679, 0.222714, 2.85929, -0.794927, 1.8174, -1.88488, 0.649209, -3.14159, -0.649209
2.63671, 0, 1.91485, -2.44553, -0.517228, 1.40248, -2.97128, -1.05327, 0.878638, 2.80401, -1.57013, 0.342863, 2.272, -2.08309, -0.169566, 1.74168, -2.61955, -0.693425, 1.22692, -3.14159, -1.22692
2.92968, 0, 2.61571, -1.05142, 1.56506, -2.10115, 0.516332, 3.13436, -0.530221, 2.08898, -1.57439, 1.04604, -2.61614, 0.00533996, 2.62702, -1.03484, 1.58513, -2.08094, 0.532053, -3.14159, -0.532053
3.22265, 0, -2.93531, 0.301057, -2.7369, 0.71518, -2.10116, 1.09164, -2.10145, 1.17751, -1.37586, 1.99753, -1.24946, 1.77751, -1.06926, 2.81254, -0.298215, 2.65887, -0.575624, 3.14159, 0.575624
3.51562, 0, 1.84246, -2.82592, -1.11171, 0.746796, 2.53076, -2.12326, -0.3759, 1.51062, -3.07634, -1.4889, 0.384342, 2.19995, -2.53635, -0.760912, 1.11782, 2.79314, -1.83255, 2.7412e-14, 1.83255
3.80859, 0, -2.97403, 0.356749, -2.60402, 0.697627, -2.26808, 1.07289, -1.89439, 1.39214, -1.57684, 1.77728, -1.18457, 2.08895, -0.894803, 2.46543, -0.481058, 2.79004, -0.211596, 3.14159, 0.211596
4.10155, 0, 2.61464, -1.05614, 1.55317, -2.12425, 0.47764, 3.0754, -0.614362, 1.97458, -1.72416, 0.856093, -2.85022, -0.274829, 2.30299, -1.3923, 1.2199, -2.40312, 0.33288, -3.14159, -0.33288
4.39452, 0, 2.6368, -1.00913, 1.6287, -2.01613, 0.622788, -3.0208, -0.380293, 2.2616, -1.37733, 1.27159, -2.35173, 0.341784, -3.0625, 1.54837, -1.64552, 1.0439, -2.61034, -1.85567e-13, 2.61034
4.68749, 0, -3.014, 0.303102, -2.60399, 0.723171, -2.29586, 1.02228, -1.88049, 1.44324, -1.57078, 1.69839, -1.26566, 2.11206, -0.846884, 2.41705, -0.544901, 2.83426, -0.127584, 3.14159, 0.127584
4.98046, 0, 2.61025, -1.06259, 1.54766, -2.1259, 0.482567, 3.08916, -0.590575, 2.00703, -1.69144, 0.853798, 3.11292, -2.80079, -0.419264, 2.13967, -1.5516, 1.05371, -2.61666, -1.0295e-13, 2.61666
5.27343, 0, -2.79616, 0.870031, -1.9515, 1.36616, -1.40412, 2.24977, -0.670825, 2.6057, -0.168791, -2.78735, 0.654592, -2.14722, 1.5144, -1.3037, 2.07318, -0.599455, 2.98459, 3.13831e-13, -2.98459
5.5664, 0, 2.26446, -1.75325, 0.514951, 2.78631, -1.22352, 1.04975, -2.96234, -0.694434, 1.57083, -2.4478, -0.181669, 2.08751, -1.92353, 0.350045, 2.62284, -1.39018, 0.876788, 3.14159, -0.876788
5.85936, 0, 1.36435, 2.75534, -2.20141, -0.688227, 0.810739, 2.14013, -2.78982, -1.46465, -0.0317763, 1.36987, 2.73265, -2.02276, -0.593997, 0.717002, 2.03874, -2.88943, -1.39085, 1.68009e-14, 1.39085
6.15233, 0, 2.6689, -0.934399, 1.77005, -1.76516, 1.05102, -2.33099, 0.624964, -2.72826, 0.126647, 2.91477, -0.621363, 2.10682, -1.45013, 1.28827, -2.23122, 0.569332, -2.87179, 1.52645e-14, 2.87179
6.4453, 0, 2.61619, -1.05107, 1.56457, -2.10311, 0.512309, 3.1277, -0.54009, 2.07533, -1.59239, 1.02308, -2.64478, -0.0303812, 2.57832, 2.26195, -1.57335, 1.04109, -2.6219, -1.90294e-13, 2.6219
6.73827, 0, 2.60344, -1.07929, 1.51723, -2.1732, 0.415341, 2.9987, -0.70856, 1.85367, -1.90496, 0.351447, 0.606577, 2.97858, -0.772271, 1.7945, -1.89367, 0.748628, -2.81091, -2.41114e-13, 2.81091
7.03124, 0, 2.63433, -1.01118, 1.63358, -1.99229, 0.687544, -2.87014, -0.0307905, -3.12779, 0.461775, -2.70142, 0.127489, 2.86451, -0.715882, 1.97234, -1.63067, 1.03843, -2.60249, -2.17093e-13, 2.60249
7.3242, 0, 2.61803, -1.05225, 1.55222, -2.13914, 0.432987, 2.97214, -0.832883, 1.52117, -2.63656, -0.644739, 1.54421, -2.35812, 0.113566, 2.62259, -1.14302, 1.36161, -2.44655, -1.21384e-13, 2.44655
7.61717, 0, -1.5688, -3.14139, 1.57077, 0.00183114, -1.57086, 3.14156, 1.57249, -0.000313531, -1.57083, -3.14005, 1.57024, -2.60838e-05, -1.56942, 3.14081, 1.57078, 0.00119255, -1.57179, 3.14159, 1.57179
