0, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
0.292968, 1, 0, -0.677655, 0.411788, 0.293173, -0.516471, -0.00800001, 0.4437, -0.152879, -0.294607, 0.205599, 0.139289, -0.184939, -0.0182974, 0.128205, -0.053973, -0.0650728, 0.0813307, 0.0137041, -0.0768351, 0.0185959, 0.055523, -0.0323488, -0.0298654, 0.0322897, 0.00787222, -0.0243216, 0.00685013, 0.0135502, -0.0139616, -0.00342772, 0.0149342, -0.00425321, -0.0118032, 0.00888025, 0.00638425, -0.0104079, -8.56354e-16, 0.00609768, 0.00907941
0.585936, 1, 0, -0.294696, 0.171812, 0.223384, -0.388658, 0.00143408, 0.221561, -0.107589, -0.184196, 0.110917, 0.062745, -0.106185, 0.000879058, 0.0600749, -0.0355909, -0.0265884, 0.0472922, -0.000515966, -0.0374776, 0.0144371, 0.0241979, -0.0174976, -0.00973026, 0.0148927, -0.00024745, -0.00930599, 0.00559143, 0.00398002, -0.00717188, 9.80444e-05, 0.00628282, -0.00259852, -0.00437661, 0.0038218, 0.00217167, -0.0041845, -3.27572e-16, 0.00237632, 0.00369802
0.878904, 1, 0, -0.776318, 0.472878, 0.349094, -0.671252, 0.0366743, 0.599746, -0.261278, -0.383303, 0.31847, 0.149315, -0.262434, 0.024431, 0.159309, -0.114115, -0.0594532, 0.13221, -0.0109029, -0.106359, 0.0461016, 0.0638649, -0.0529359, -0.0238952, 0.0427862, -0.00411417, -0.0262178, 0.0184696, 0.0103945, -0.0219647, 0.00130617, 0.0188783, -0.00838296, -0.0129398, 0.0118227, 0.00639673, -0.0128043, -1.17862e-15, 0.00828356, 0.0105866
1.17187, 1, 0, -0.797963, 0.457563, 0.392053, -0.671965, -0.00279606, 0.626902, -0.243664, -0.424553, 0.324052, 0.186605, -0.281147, 0.0018501, 0.179462, -0.106922, -0.0739083, 0.134913, -0.00366007, -0.112464, 0.0440259, 0.0690879, -0.0530941, -0.0268335, 0.0431077, -0.00290997, -0.0259916, 0.017829, 0.00990181, -0.0210526, 0.00145276, 0.0175366, -0.00777642, -0.0115476, 0.0104991, 0.00551024, -0.0111911, -1.25377e-15, 0.00987775, 0.00655921
1.46484, 1, 0, -0.803512, 0.460202, 0.400497, -0.681068, -0.0089044, 0.641336, -0.242215, -0.440991, 0.32723, 0.202447, -0.288292, -0.0119083, 0.189881, -0.0963681, -0.0865456, 0.12867, 0.00947616, -0.111256, 0.0324941, 0.0726953, -0.0449538, -0.0339371, 0.0391882, 0.00566626, -0.0259622, 0.00978749, 0.0125758, -0.0148921, -0.00248356, 0.0136661, -0.00368735, -0.0095979, 0.00672051, 0.0047892, -0.00759455, -1.28591e-15, 0.0053855, 0.00625284
1.75781, 1, 0, -0.000375028, 0.000211784, 0.000188641, -0.0003148, -5.76659e-06, 0.000297795, -0.000113225, -0.000204746, 0.000154275, 9.18389e-05, -0.000135393, -5.40213e-07, 8.67598e-05, -5.12124e-05, -3.5319e-05, 6.52473e-05, -2.66667e-06, -5.4138e-05, 2.21654e-05, 3.25331e-05, -2.59918e-05, -1.16458e-05, 2.04027e-05, -2.69288e-06, -1.15744e-05, 9.39188e-06, 3.69302e-06, -1.02433e-05, 1.45987e-06, 7.98069e-06, -3.9551e-06, -4.89431e-06, 4.77453e-06, 2.19101e-06, -4.91362e-06, 3.8208e-16, 3.37502e-06, 4.02566e-06
2.05078, 1, 0, 0.267844, 0.812423, -0.721547, 0.663943, -0.735073, -0.497598, 0.0966614, -0.931234, 0.92796, -0.0917692, 0.491758, 0.738381, -0.657527, 0.710435, -0.810051, -0.272351, 0.00442554, -0.97958, 0.809396, -0.269893, 0.647141, 0.713336, -0.488358, 0.733747, -0.919731, -0.101984, -0.0981002, -0.917801, 0.736245, -0.485669, 0.707023, 0.646334, -0.272147, 0.808388, -0.971316, 9.81654e-16, 0.569066, 0.635389
2.34375, 1, 0, -0.818258, 0.456701, 0.428997, -0.694859, -0.030656, 0.679021, -0.244199, -0.490289, 0.354937, 0.244041, -0.33068, -0.0321377, 0.231544, -0.0999755, -0.115759, 0.149244, 0.0218803, -0.13807, 0.0345923, 0.0963817, -0.0556532, -0.0492863, 0.0522504, 0.0118332, -0.0369069, 0.0107047, 0.019313, -0.0196847, -0.00488491, 0.0194056, -0.00463778, -0.0142773, 0.00966719, 0.00733698, -0.0111907, -1.36803e-15, 0.0118796, 0.00248191
2.63671, 1, 0, -0.08925, 0.249087, -0.204287, -0.170697, 0.230869, -0.131338, 0.0440473, 0.259218, -0.258812, -0.04451, 0.131395, -0.230808, 0.170126, 0.205226, -0.248687, 0.0872946, 0.000174506, -0.262, 0.249435, 0.0890385, -0.172288, 0.20405, -0.129976, -0.231121, 0.259306, -0.0443959, -0.0449624, 0.260545, -0.231061, -0.132925, 0.204943, -0.17033, 0.0893452, 0.249493, -0.264262, -2.67075e-16, 0.118396, 0.23709
2.92968, 1, 0, -0.809372, 0.469754, 0.403763, -0.706214, 0.00387133, 0.675135, -0.274371, -0.467893, 0.369813, 0.209943, -0.327026, 0.00236477, 0.213567, -0.125196, -0.0915879, 0.160638, -0.000490977, -0.136545, 0.0500195, 0.0864049, -0.062632, -0.0363159, 0.0521822, 0.000278654, -0.032663, 0.0184671, 0.0138408, -0.0233034, -0.000285621, 0.0199312, -0.0074659, -0.0133429, 0.0109344, 0.00643686, -0.0118514, -1.3488e-15, 0.00883607, 0.00910596
